Date,Open,High,Low,Close,Adj Close,Volume,Currency
05-07-18,467.286987,483.225006,464.628998,474.411987,474.411987,1828610048,Ethereum
06-07-18,474.356995,479.652008,457.61499,474.011993,474.011993,1627609984,Ethereum
07-07-18,474.057007,491.660004,466.835999,491.660004,491.660004,1358360064,Ethereum
08-07-18,492.067993,503.199005,488.416992,489.118988,489.118988,1344560000,Ethereum
09-07-18,488.877991,490.85199,475.174988,476.682007,476.682007,1533799936,Ethereum
10-07-18,476.161987,478.317993,433.959991,434.424011,434.424011,1789069952,Ethereum
11-07-18,434.515015,447.31601,429.506989,446.518005,446.518005,1422470016,Ethereum
12-07-18,446.502014,446.502014,422.809998,430.074005,430.074005,1495440000,Ethereum
13-07-18,430.740997,442.363007,430.740997,434.027008,434.027008,1489670016,Ethereum
14-07-18,434.510986,439.43399,431.473999,436.085999,436.085999,1235820032,Ethereum
15-07-18,435.882996,454.001007,433.92099,449.850006,449.850006,1350160000,Ethereum
16-07-18,450.424988,480.65799,446.798004,480.65799,480.65799,1858680064,Ethereum
17-07-18,480.076996,508.779999,468.915009,501.002014,501.002014,2288100096,Ethereum
18-07-18,500.838013,513.432983,474.359009,480.513,480.513,2371559936,Ethereum
19-07-18,480.627991,483.23999,465.141998,469.618988,469.618988,2068739968,Ethereum
20-07-18,469.307007,469.307007,443.692993,450.697998,450.697998,1821350016,Ethereum
21-07-18,450.678986,468.083008,445.776001,462.436005,462.436005,1504310016,Ethereum
22-07-18,462.437988,470.89801,458.118988,459.657013,459.657013,1338589952,Ethereum
23-07-18,459.438995,469.765991,449.727997,450.852997,450.852997,1596999936,Ethereum
24-07-18,451.135986,481.141998,450.565002,479.372986,479.372986,2287520000,Ethereum
25-07-18,479.906006,482.868011,466.473999,472.493011,472.493011,1930780032,Ethereum
26-07-18,472.330994,483.696014,461.424011,464.036987,464.036987,1621560064,Ethereum
27-07-18,464.009003,473.221985,458.290985,469.665985,469.665985,1734259968,Ethereum
28-07-18,469.678009,471.593994,462.989014,466.89801,466.89801,1531890048,Ethereum
29-07-18,466.915009,470.355988,462.712006,466.665009,466.665009,1631910016,Ethereum
30-07-18,466.826996,467.951996,448.640991,457.080994,457.080994,2141590000,Ethereum
31-07-18,457.244995,457.244995,430.444,433.867004,433.867004,1820680000,Ethereum
01-08-18,433.868988,435.457001,410.463989,420.747009,420.747009,1888060000,Ethereum
02-08-18,420.806,425.033997,410.30899,412.621002,412.621002,1569300000,Ethereum
